Vigilant Time,Relative Time,Density,Date,JulianDate
3:02,0.202222222,4,16-Jun-17,1
1:42,0.113333333,2,18-Jun-17,3
5:53,0.392222222,4,18-Jun-17,3
11:17,0.752222222,2,20-Jun-17,5
5:48,0.386666667,3,20-Jun-17,5
6:19,0.421111111,3,21-Jun-17,6
4:52,0.324444444,2,21-Jun-17,6
5:58,0.397777778,2,21-Jun-17,6
11:12,0.746666667,2,21-Jun-17,6
2:58,0.197777778,3,21-Jun-17,6
5:20,0.355555556,2,22-Jun-17,7
7:45,0.516666667,2,22-Jun-17,7
5:43,0.381111111,4,22-Jun-17,7
2:11,0.145555556,4,23-Jun-17,8
3:07,0.207777778,4,23-Jun-17,8
1:52,0.124444444,3,23-Jun-17,8
3:23,0.225555556,3,23-Jun-17,8
2:00,0.133333333,4,23-Jun-17,8
10:09,0.676666667,3,23-Jun-17,8
4:20,0.288888889,5,23-Jun-17,8
9:21,0.623333333,2,26-Jun-17,11
2:45,0.183333333,5,26-Jun-17,11
1:34,0.104444444,4,26-Jun-17,11
8:46,0.584444444,2,26-Jun-17,11
5:19,0.354444444,3,26-Jun-17,11
2:45,0.183333333,3,26-Jun-17,11
6:36,0.44,2,27-Jun-17,12
3:48,0.253333333,3,27-Jun-17,12
3:36,0.24,3,27-Jun-17,12
4:28,0.297777778,2,27-Jun-17,12
6:28,0.431111111,3,27-Jun-17,12
8:13,0.547777778,4,27-Jun-17,12
5:52,0.391111111,3,27-Jun-17,12
3:01,0.201111111,5,27-Jun-17,12
3:33,0.236666667,4,29-Jun-17,14
3:19,0.221111111,4,29-Jun-17,14
5:05,0.338888889,2,29-Jun-17,14
5:05,0.338888889,2,29-Jun-17,14
4:04,0.271111111,5,29-Jun-17,14
1:15,0.083333333,4,29-Jun-17,14
4:10,0.277777778,5,30-Jun-17,15
0:48,0.053333333,5,30-Jun-17,15
